"File","CurrentNamespace","ExpectedNamespace","Status","Type"
"PurchasingModule\PurchasingForm.cs","KMCI_System","KMCI_System.PurchasingModule","MISMATCH","Regular"
"PurchasingModule\ProjectManagementModule\AddProjectForm.cs","KMCI_System.PurchasingModule","KMCI_System.PurchasingModule.ProjectManagementModule","MISMATCH","Regular"
"PurchasingModule\ProjectManagementModule\ProjectDetailsModule\ProjectDirectory\PurchaseRequestDetails2.cs","KMCI_System.PurchasingModule","KMCI_System.PurchasingModule.ProjectManagementModule.ProjectDetailsModule.ProjectDirectory","MISMATCH","Regular"
"PurchasingModule\PurchasingForm.Designer.cs","KMCI_System","KMCI_System.PurchasingModule","MISMATCH","Designer"
"PurchasingModule\ProjectManagementModule\ProjectDetailsModule\ProjectDetails.Designer.cs","KMCI_System.SalesModule.ProjectManagementModule.ProjectDetailsModule","KMCI_System.PurchasingModule.ProjectManagementModule.ProjectDetailsModule","MISMATCH","Designer"
"PurchasingModule\ProjectManagementModule\ProjectDetailsModule\ProjectOverview.Designer.cs","KMCI_System.SalesModule.ProjectManagementModule.ProjectDetailsModule","KMCI_System.PurchasingModule.ProjectManagementModule.ProjectDetailsModule","MISMATCH","Designer"
"PurchasingModule\ProjectManagementModule\ProjectDetailsModule\BudgetAllocation\AddBudget.Designer.cs","KMCI_System.SalesModule.ProjectManagementModule.ProjectDetailsModule.BudgetAllocation","KMCI_System.PurchasingModule.ProjectManagementModule.ProjectDetailsModule.BudgetAllocation","MISMATCH","Designer"
"PurchasingModule\ProjectManagementModule\ProjectDetailsModule\BudgetAllocation\BudgetAllocation.Designer.cs","KMCI_System.SalesModule.ProjectManagementModule.ProjectDetailsModule.BudgetAllocation","KMCI_System.PurchasingModule.ProjectManagementModule.ProjectDetailsModule.BudgetAllocation","MISMATCH","Designer"
"PurchasingModule\ProjectManagementModule\ProjectDetailsModule\CreateQuotation\AddProductList.Designer.cs","KMCI_System.SalesModule.ProjectManagementModule.ProjectDetailsModule.CreateQuotation","KMCI_System.PurchasingModule.ProjectManagementModule.ProjectDetailsModule.CreateQuotation","MISMATCH","Designer"
"PurchasingModule\ProjectManagementModule\ProjectDetailsModule\CreateQuotation\CreateQuotation.Designer.cs","KMCI_System.SalesModule.ProjectManagementModule.ProjectDetailsModule.CreateQuotation","KMCI_System.PurchasingModule.ProjectManagementModule.ProjectDetailsModule.CreateQuotation","MISMATCH","Designer"
"PurchasingModule\ProjectManagementModule\ProjectDetailsModule\ProjectDirectory\BudgetDetails.Designer.cs","KMCI_System.SalesModule.ProjectManagementModule.ProjectDetailsModule.ProjectDirectory","KMCI_System.PurchasingModule.ProjectManagementModule.ProjectDetailsModule.ProjectDirectory","MISMATCH","Designer"
"PurchasingModule\ProjectManagementModule\ProjectDetailsModule\ProjectDirectory\ProjectDirectory.Designer.cs","KMCI_System.SalesModule.ProjectManagementModule.ProjectDetailsModule.ProjectDirectory","KMCI_System.PurchasingModule.ProjectManagementModule.ProjectDetailsModule.ProjectDirectory","MISMATCH","Designer"
"PurchasingModule\ProjectManagementModule\ProjectDetailsModule\ProjectDirectory\PurchaseRequestDetails2.Designer.cs","KMCI_System.PurchasingModule","KMCI_System.PurchasingModule.ProjectManagementModule.ProjectDetailsModule.ProjectDirectory","MISMATCH","Designer"
"PurchasingModule\ProjectManagementModule\ProjectDetailsModule\ProjectDirectory\QuotationDetails.Designer.cs","KMCI_System.SalesModule.ProjectManagementModule.ProjectDetailsModule.ProjectDirectory","KMCI_System.PurchasingModule.ProjectManagementModule.ProjectDetailsModule.ProjectDirectory","MISMATCH","Designer"
